,,,Treatment,,Plant Ratings CLS (%),
Rep,Plot,No.,Host,Inoc,9 DAI,14 DAI
1,101,1,Viroflay,None,0,0
1,102,2,SV2157VB,None,0,0
1,103,3,Mandolin,None,0,0
1,104,4,Unipack-151,None,0,0
1,105,5,KDH4-9,None,0,0
1,106,6,Ruby-Queen,None,0,0
1,107,7,Red-Ace,None,0,0
1,108,8,Silverado,None,0,0
1,109,9,Viroflay,CRC021,0,3
1,110,10,SV2157VB,CRC021,0,5
1,111,11,Mandolin,CRC021,0,1
1,112,12,Unipack-151,CRC021,0,1
1,113,13,KDH4-9,CRC021,0,0
1,114,14,Ruby-Queen,CRC021,0,0
1,115,15,Red-Ace,CRC021,0,0
1,116,16,Silverado,CRC021,0,0
1,117,17,Viroflay,CRC022,1,7
1,118,18,SV2157VB,CRC022,5,30
1,119,19,Mandolin,CRC022,1,20
1,120,20,Unipack-151,CRC022,0,1
1,121,21,KDH4-9,CRC022,0,0
1,122,22,Ruby-Queen,CRC022,0,0
1,123,23,Red-Ace,CRC022,0,0
1,124,24,Silverado,CRC022,0,0
1,125,25,Viroflay,CRC023,0,3
1,126,26,SV2157VB,CRC023,1,20
1,127,27,Mandolin,CRC023,1,30
1,128,28,Unipack-151,CRC023,0,0
1,129,29,KDH4-9,CRC023,0,0
1,130,30,Ruby-Queen,CRC023,0,0
1,131,31,Red-Ace,CRC023,0,0
1,132,32,Silverado,CRC023,0,0
1,133,33,Viroflay,CRC024,0,7
1,134,34,SV2157VB,CRC024,5,40
1,135,35,Mandolin,CRC024,3,10
1,136,36,Unipack-151,CRC024,0,1
1,137,37,KDH4-9,CRC024,0,0
1,138,38,Ruby-Queen,CRC024,0,0
1,139,39,Red-Ace,CRC024,0,0
1,140,40,Silverado,CRC024,0,0
1,141,41,Viroflay,CRC026,0,1
1,142,42,SV2157VB,CRC026,3,10
1,143,43,Mandolin,CRC026,1,10
1,144,44,Unipack-151,CRC026,0,0
1,145,45,KDH4-9,CRC026,0,0
1,146,46,Ruby-Queen,CRC026,0,0
1,147,47,Red-Ace,CRC026,0,0
1,148,48,Silverado,CRC026,0,0
1,149,49,Viroflay,CRC028,1,10
1,150,50,SV2157VB,CRC028,5,30
1,151,51,Mandolin,CRC028,1,5
1,152,52,Unipack-151,CRC028,0,0
1,153,53,KDH4-9,CRC028,0,0
1,154,54,Ruby-Queen,CRC028,0,0
1,155,55,Red-Ace,CRC028,0,0
1,156,56,Silverado,CRC028,0,0
2,201,37,KDH4-9,CRC024,0,0
2,202,23,Red-Ace,CRC022,0,0
2,203,17,Viroflay,CRC022,1,3
2,204,32,Silverado,CRC023,0,0
2,205,49,Viroflay,CRC028,0,3
2,206,51,Mandolin,CRC028,0,5
2,207,52,Unipack-151,CRC028,0,0
2,208,48,Silverado,CRC026,0,0
2,209,29,KDH4-9,CRC023,0,0
2,210,15,Red-Ace,CRC021,0,0
2,211,38,Ruby-Queen,CRC024,0,0
2,212,21,KDH4-9,CRC022,0,0
2,213,20,Unipack-151,CRC022,0,1
2,214,13,KDH4-9,CRC021,0,0
2,215,39,Red-Ace,CRC024,0,0
2,216,6,Ruby-Queen,None,0,0
2,217,11,Mandolin,CRC021,0,0
2,218,54,Ruby-Queen,CRC028,0,0
2,219,26,SV2157VB,CRC023,0,20
2,220,41,Viroflay,CRC026,0,1
2,221,31,Red-Ace,CRC023,0,0
2,222,10,SV2157VB,CRC021,0,3
2,223,53,KDH4-9,CRC028,0,0
2,224,8,Silverado,None,0,0
2,225,14,Ruby-Queen,CRC021,0,0
2,226,36,Unipack-151,CRC024,0,0
2,227,28,Unipack-151,CRC023,0,1
2,228,7,Red-Ace,None,0,0
2,229,42,SV2157VB,CRC026,1,10
2,230,24,Silverado,CRC022,0,0
2,231,9,Viroflay,CRC021,0,5
2,232,35,Mandolin,CRC024,0,1
2,233,5,KDH4-9,None,0,0
2,234,4,Unipack-151,None,0,0
2,235,27,Mandolin,CRC023,1,15
2,236,43,Mandolin,CRC026,0,0
2,237,2,SV2157VB,None,0,0
2,238,3,Mandolin,None,0,0
2,239,44,Unipack-156,CRC026,0,1
2,240,18,SV2157VB,CRC022,0,5
2,241,46,Ruby-Queen,CRC026,0,0
2,242,55,Red-Ace,CRC028,0,0
2,243,34,SV2157VB,CRC024,3,20
2,244,50,SV2157VB,CRC028,0,30
2,245,22,Ruby-Queen,CRC022,0,0
2,246,25,Viroflay,CRC023,1,35
2,247,12,Unipack-151,CRC021,0,1
2,248,19,Mandolin,CRC022,1,5
2,249,40,Silverado,CRC024,0,0
2,250,47,Red-Ace,CRC026,0,0
2,251,45,KDH4-14,CRC026,0,0
